2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Мексика.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Мексика.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Мексика.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Мексика завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Аргентина.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Аргентина.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Аргентина.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Аргентина завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Колумбия.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Колумбия.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Колумбия.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Колумбия завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Венесуэла.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Венесуэла.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Венесуэла.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Венесуэла завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Малайзия.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Малайзия.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Малайзия.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Малайзия завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Индонезия.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Индонезия.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Индонезия.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Индонезия завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Филиппины.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Филиппины.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Филиппины.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Филиппины завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Сингапур.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Сингапур.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Сингапур.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Сингапур завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Тайланд.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Тайланд.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Тайланд.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Тайланд завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Казахстан.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Казахстан.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Казахстан.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Казахстан завершен успешно
2022-03-30 15:22:18 INFO  FileWriter:35 - Старт заполнения файла 'Вьетнам.txt'
2022-03-30 15:22:18 INFO  FileWriter:27 - Создан файл Вьетнам.txt
2022-03-30 15:22:18 INFO  FileWriter:42 - Файл 'Вьетнам.txt' заполнен успешно
2022-03-30 15:22:18 INFO  MultiThreadHtmlParser:48 - Парсинг страны Вьетнам завершен успешно
2022-03-30 15:22:19 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Молдова
2022-03-30 15:22:19 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Украина
2022-03-30 15:22:21 INFO  FileWriter:35 - Старт заполнения файла 'Латвия.txt'
2022-03-30 15:22:21 INFO  FileWriter:27 - Создан файл Латвия.txt
2022-03-30 15:22:21 INFO  FileWriter:42 - Файл 'Латвия.txt' заполнен успешно
2022-03-30 15:22:22 INFO  FileWriter:35 - Старт заполнения файла 'Эстония.txt'
2022-03-30 15:22:22 INFO  FileWriter:27 - Создан файл Эстония.txt
2022-03-30 15:22:22 INFO  FileWriter:42 - Файл 'Эстония.txt' заполнен успешно
2022-03-30 15:22:23 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Сербия
2022-03-30 15:22:26 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Северная Македония
2022-03-30 15:22:28 INFO  FileWriter:35 - Старт заполнения файла 'Индия.txt'
2022-03-30 15:22:28 INFO  FileWriter:27 - Создан файл Индия.txt
2022-03-30 15:22:28 INFO  FileWriter:42 - Файл 'Индия.txt' заполнен успешно
2022-03-30 15:22:28 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Чехия
2022-03-30 15:22:34 INFO  MultiThreadHtmlParser:67 - Старт парсинга страны Гондурас
2022-03-30 15:22:34 INFO  FileWriter:35 - Старт заполнения файла 'Молдова.txt'
2022-03-30 15:22:34 INFO  FileWriter:27 - Создан файл Молдова.txt
